27047.24191236,26880.09000000,27277.55000000,26869.96000000,16844.19723000,455589077.29923230
27047.24191236,26880.09000000,27277.55000000,26869.96000000,16844.19723000,455589077.29923230
27047.24193300,26880.10000000,27277.55000000,26869.96000000,16844.19515000,455589021.38864510
27047.24191236,26880.09000000,27277.55000000,26869.96000000,16844.19723000,455589077.29923230
27047.24193300,26880.10000000,27277.55000000,26869.96000000,16844.19515000,455589021.38864510
27047.24259809,26880.09000000,27277.55000000,26869.96000000,16844.15427000,455587926.90029010
27047.24191236,26880.09000000,27277.55000000,26869.96000000,16844.19723000,455589077.29923230
27047.24193300,26880.10000000,27277.55000000,26869.96000000,16844.19515000,455589021.38864510
27047.24259809,26880.09000000,27277.55000000,26869.96000000,16844.15427000,455587926.90029010
27047.24260320,26880.09000000,27277.55000000,26869.96000000,16844.16301000,455588163.37931150
27047.24191236,26880.09000000,27277.55000000,26869.96000000,16844.19723000,455589077.29923230
27047.24193300,26880.10000000,27277.55000000,26869.96000000,16844.19515000,455589021.38864510
27047.24259809,26880.09000000,27277.55000000,26869.96000000,16844.15427000,455587926.90029010
27047.24260320,26880.09000000,27277.55000000,26869.96000000,16844.16301000,455588163.37931150
27047.24268497,26880.09000000,27277.55000000,26869.96000000,16844.15477000,455587941.88730970
